日期,求和项:收盘
2012年9月10日,2134.89
2012年9月11日,2120.55
2012年9月12日,2126.55
2012年9月13日,2110.38
2012年9月14日,2123.85
2012年9月17日,2078.5
2012年9月18日,2059.54
2012年9月19日,2067.83
2012年9月20日,2024.84
2012年9月21日,2026.69
2012年9月24日,2033.19
2012年9月25日,2029.29
2012年9月26日,2004.17
2012年9月27日,2056.32
2012年9月28日,2086.17
2012年10月8日,2074.42
2012年10月9日,2115.23
2012年10月10日,2119.94
2012年10月11日,2102.87
2012年10月12日,2104.93
2012年10月15日,2098.7
2012年10月16日,2098.81
2012年10月17日,2105.62
2012年10月18日,2131.69
2012年10月19日,2128.3
2012年10月22日,2132.76
2012年10月23日,2114.45
2012年10月24日,2115.99
2012年10月25日,2101.58
2012年10月26日,2066.21
2012年10月29日,2058.94
2012年10月30日,2062.35
2012年10月31日,2068.88
2012年11月1日,2104.43
2012年11月2日,2117.05
2012年11月5日,2114.03
2012年11月6日,2106
2012年11月7日,2105.73
2012年11月8日,2071.51
2012年11月9日,2069.07
2012年11月12日,2079.27
2012年11月13日,2047.89
2012年11月14日,2055.42
2012年11月15日,2030.29
2012年11月16日,2014.72
2012年11月19日,2016.98
2012年11月20日,2008.92
2012年11月21日,2030.32
2012年11月22日,2015.61
2012年11月23日,2027.38
2012年11月26日,2017.46
2012年11月27日,1991.17
2012年11月28日,1973.52
2012年11月29日,1963.49
2012年11月30日,1980.12
2012年12月3日,1959.77
2012年12月4日,1975.14
2012年12月5日,2031.91
2012年12月6日,2029.24
2012年12月7日,2061.79
2012年12月10日,2083.77
2012年12月11日,2074.7
2012年12月12日,2082.73
2012年12月13日,2061.48
2012年12月14日,2150.63
2012年12月17日,2160.34
2012年12月18日,2162.46
2012年12月19日,2162.24
2012年12月20日,2168.35
2012年12月21日,2153.31
2012年12月24日,2159.05
2012年12月25日,2213.61
2012年12月26日,2219.13
2012年12月27日,2205.9
2012年12月28日,2233.25
2012年12月31日,2269.13
2013年1月4日,2276.99
2013年1月7日,2285.36
2013年1月8日,2276.07
2013年1月9日,2275.34
2013年1月10日,2283.66
2013年1月11日,2243
2013年1月14日,2311.74
2013年1月15日,2325.68
2013年1月16日,2309.5
2013年1月17日,2284.91
2013年1月18日,2317.07
2013年1月21日,2328.22
2013年1月22日,2315.14
2013年1月23日,2320.91
2013年1月24日,2302.6
2013年1月25日,2291.3
2013年1月28日,2346.51
2013年1月29日,2358.98
2013年1月30日,2382.47
2013年1月31日,2385.42
2013年2月1日,2419.02
2013年2月4日,2428.15
2013年2月5日,2433.13
2013年2月6日,2434.48
2013年2月7日,2418.53
2013年2月8日,2432.4
2013年2月17日,2432.4
2013年2月18日,2421.56
2013年2月19日,2382.91
2013年2月20日,2397.18
2013年2月21日,2325.95
2013年2月22日,2314.16
2013年2月25日,2325.82
2013年2月26日,2293.34
